sno,sna,sarea,lng,lat,2018/8/1-7,2018/8/1-8  ,2018/8/1-9  ,2018/8/1-10  ,2018/8/1-11,2018/8/1-12,2018/8/1-13,2018/8/1-14,2018/8/1-15,2018/8/1-16,2018/8/1-17,2018/8/1-18,2018/8/1-19,2018/8/1-20,2018/8/1-21,2018/8/1-22,2018/8/1-23,2018/8/1-24,2018/8/2-7,2018/8/2-8,2018/8/2-9,2018/8/2-10,2018/8/2-11,2018/8/2-12,2018/8/2-13,2018/8/2-14,2018/8/2-15,2018/8/2-16,2018/8/2-17,2018/8/2-18,2018/8/2-19,2018/8/2-20,2018/8/2-21,2018/8/2-22,2018/8/2-23,2018/8/2-24,2018/8/3-7,2018/8/3-8,2018/8/3-9,2018/8/3-10,2018/8/3-11,2018/8/3-12,2018/8/3-13,2018/8/3-14,2018/8/3-15,2018/8/3-16,2018/8/3-17,2018/8/3-18,2018/8/3-19,2018/8/3-20,2018/8/3-21,2018/8/3-22,2018/8/3-23,2018/8/3-24,2018/8/4-7,2018/8/4-8,2018/8/4-9,2018/8/4-10,2018/8/4-11,2018/8/4-12,2018/8/4-13,2018/8/4-14,2018/8/4-15,2018/8/4-16,2018/8/4-17,2018/8/4-18,2018/8/4-19,2018/8/4-20,2018/8/4-21,2018/8/4-22,2018/8/4-23,2018/8/4-24,2018/8/5-7,2018/8/5-8,2018/8/5-9,2018/8/5-10,2018/8/5-11,2018/8/5-12,2018/8/5-13,2018/8/5-14,2018/8/5-15,2018/8/5-16,2018/8/5-17,2018/8/5-18,2018/8/5-19,2018/8/5-20,2018/8/5-21,2018/8/5-22,2018/8/5-23,2018/8/5-24,2018/8/6-7,2018/8/6-8,2018/8/6-9,2018/8/6-10,2018/8/6-11,2018/8/6-12,2018/8/6-13,2018/8/6-14,2018/8/6-15,2018/8/6-16,2018/8/6-17,2018/8/6-18,2018/8/6-19,2018/8/6-20,2018/8/6-21,2018/8/6-22,2018/8/6-23,2018/8/6-24,2018/8/7-7,2018/8/7-8,2018/8/7-9,2018/8/7-10,2018/8/7-11,2018/8/7-12,2018/8/7-13,2018/8/7-14,2018/8/7-15,2018/8/7-16,2018/8/7-17,2018/8/7-18,2018/8/7-19,2018/8/7-20,2018/8/7-21,2018/8/7-22,2018/8/7-23,2018/8/7-24
123,天母運動公園,士林區,121.534136,25.116325,9,25,31,21,23,23,23,26,24,24,31,15,33,16,15,3,7,6,16,25,27,44,22,17,5,22,25,28,19,28,34,13,8,19,10,10,7,19,24,28,18,13,8,5,5,5,5,23,28,22,23,24,20,20,21,23,20,26,31,29,20,29,29,33,30,24,34,19,21,15,4,11,9,12,14,21,24,24,32,22,13,13,23,25,27,16,3,10,9,13,18,28,34,36,22,25,27,31,36,34,29,16,26,17,22,16,9,16,23,19,22,29,28,23,21,24,25,27,24,25,18,18,24,28,29,32
124,振華公園,北投區,121.518163,25.115863,16,7,1,2,4,4,8,8,4,7,11,3,2,3,2,3,5,2,14,12,12,12,10,12,10,13,12,8,10,13,14,14,12,17,19,17,19,13,9,6,8,12,17,22,16,16,14,16,18,18,17,18,25,29,30,30,26,23,27,30,31,30,25,28,28,11,13,19,22,21,24,23,26,27,25,25,18,18,18,18,17,20,20,22,26,19,19,20,21,23,25,17,10,7,6,7,10,9,10,13,15,13,18,20,27,32,20,18,21,11,6,5,5,5,6,4,2,2,3,2,10,8,14,14,11,10
125,華西公園,萬華區,121.498495,25.038609,26,20,10,13,1,3,5,4,4,3,9,14,11,6,12,20,19,21,18,13,11,4,8,6,7,9,5,2,2,4,8,9,3,11,10,15,15,14,4,3,4,6,9,9,12,11,13,15,12,6,7,14,24,20,21,25,21,25,10,9,9,11,13,9,2,2,12,10,13,17,26,29,18,16,13,12,11,11,7,9,7,9,6,11,19,8,18,15,17,17,13,6,5,6,4,6,8,7,5,2,8,14,12,6,7,13,20,23,18,10,5,3,4,3,3,3,5,4,2,8,17,26,27,13,25,23
126,敦化基隆路口,大安區,121.548336,25.022073,7,22,12,27,20,14,5,15,19,18,8,21,0,6,4,6,2,2,6,7,6,16,11,20,2,13,26,26,5,1,3,0,3,7,9,10,13,4,12,13,24,13,3,17,15,26,27,25,23,15,12,9,18,15,17,16,15,18,17,18,18,17,20,23,28,20,10,13,21,25,29,17,20,22,17,17,16,16,13,16,15,13,13,12,10,8,16,14,16,17,13,2,10,13,22,17,6,10,16,14,4,22,1,5,2,2,1,5,6,11,12,11,15,10,4,19,21,14,12,21,0,11,7,2,1,3
127,東湖國中,內湖區,121.619521,25.073277,10,16,20,15,16,9,2,6,2,3,0,2,9,17,13,20,21,16,23,32,33,32,20,15,2,4,5,8,0,1,0,4,2,1,8,8,7,9,7,6,4,1,0,7,9,9,9,8,8,19,20,22,17,22,23,26,23,22,21,22,16,17,16,16,15,12,11,11,17,23,29,29,25,24,21,21,25,25,15,18,18,21,16,7,7,8,9,11,15,22,29,26,28,32,13,7,4,3,3,2,3,4,13,13,5,9,17,7,12,13,17,13,13,9,2,5,5,6,5,1,8,17,6,7,11,13
128,成功國宅,大安區,121.546726,25.026808,17,18,21,22,18,22,20,15,0,0,7,6,14,23,26,17,20,24,27,7,3,22,17,10,7,5,0,2,7,6,14,12,12,3,10,18,20,15,12,16,10,11,9,10,10,15,21,20,21,2,7,12,29,33,20,16,19,14,2,0,8,9,16,15,12,6,4,2,11,3,15,23,32,32,30,32,25,25,24,20,17,13,17,7,14,13,5,12,18,28,17,9,17,8,16,17,20,4,2,2,2,7,15,4,12,21,11,21,24,14,22,17,8,19,4,1,0,3,0,8,16,20,17,8,20,21
129,捷運文德站(2號出口),內湖區,121.58456,25.078424,23,19,13,6,4,7,9,4,8,2,1,8,21,21,20,19,15,12,40,0,0,1,1,7,4,0,6,1,3,15,19,20,21,24,16,15,30,28,3,3,1,1,1,3,3,2,6,12,18,16,30,32,25,24,27,29,27,27,30,30,26,28,21,20,21,24,26,24,16,21,24,27,22,21,20,14,14,14,11,6,6,5,9,13,16,17,13,14,8,4,23,32,3,16,11,9,10,6,2,7,4,13,40,33,28,29,24,24,44,31,1,6,8,9,14,5,3,5,9,16,33,33,33,40,39,42
130,羅斯福寧波東街口,中正區,121.519411,25.031445,10,15,17,22,13,4,0,2,2,3,6,1,6,18,17,5,14,12,9,8,4,10,2,2,3,8,6,3,0,20,19,17,16,18,17,13,18,18,17,9,10,8,3,13,5,12,12,16,14,10,21,8,5,5,4,10,10,9,16,16,19,16,13,12,7,1,18,25,10,15,22,19,11,7,4,8,8,8,9,12,11,3,18,15,25,8,14,15,2,1,12,17,12,14,9,9,14,7,6,1,1,0,8,14,23,22,16,12,16,19,11,16,21,16,21,16,14,14,13,1,3,21,8,2,0,2
131,洲子二號公園,內湖區,121.568688,25.079322,10,15,27,10,8,3,8,12,13,11,7,21,4,1,0,0,1,5,8,22,13,22,9,17,10,12,11,11,4,5,11,0,0,7,8,5,13,3,31,21,27,13,8,11,16,15,11,22,15,30,14,8,8,4,6,6,8,9,12,20,17,22,21,17,17,17,16,24,15,9,3,1,9,9,9,12,18,18,21,22,24,21,21,18,21,12,12,10,6,2,13,20,26,18,17,15,14,23,26,24,16,26,14,21,9,1,2,3,7,6,9,21,20,14,15,18,22,18,22,21,6,2,3,0,1,14
132,羅斯福新生南路口,大安區,121.5331757,25.01603085,79,33,1,3,1,11,17,2,15,14,44,75,81,45,40,49,27,28,66,1,1,3,1,9,43,35,15,2,19,60,62,67,55,26,21,10,58,34,3,1,2,5,9,2,2,23,37,66,79,69,55,40,2,23,69,65,58,52,35,54,64,75,88,51,23,35,80,43,79,52,21,17,52,50,60,60,75,75,79,67,77,52,69,61,55,67,25,40,15,25,73,32,1,3,0,0,3,1,0,1,4,36,85,63,34,46,51,58,69,35,0,0,2,8,6,0,1,5,25,34,47,48,61,47,36,53
133,蘭興公園,士林區,121.525888,25.111839,21,13,15,10,9,7,4,4,9,12,22,8,16,18,17,22,33,35,19,1,3,1,5,5,4,6,1,3,9,20,30,8,24,15,19,29,17,29,5,3,3,1,2,1,3,5,6,5,20,14,23,1,12,17,16,25,14,20,14,15,11,0,8,0,6,7,15,15,25,7,16,26,25,21,20,7,27,27,18,14,10,21,25,16,29,27,12,8,15,22,25,33,15,11,6,19,20,26,11,17,15,12,14,26,7,16,29,30,24,21,12,10,12,8,14,16,18,2,3,4,4,15,12,30,9,21
134,捷運芝山站(2號出口),士林區,121.522629,25.10336,24,30,23,22,41,61,43,31,20,49,50,50,18,33,3,3,1,1,22,9,13,26,26,39,51,33,40,41,24,52,28,3,1,1,1,1,25,25,20,20,15,32,30,24,21,24,25,58,15,38,4,1,2,1,37,41,18,8,24,38,53,31,44,52,28,45,34,6,21,0,2,0,13,10,42,49,39,39,37,50,57,26,16,4,21,45,51,4,7,10,30,26,13,14,27,31,47,34,44,33,36,15,25,1,2,1,1,12,26,28,5,22,22,29,53,48,33,25,31,52,36,33,14,2,1,10
135,捷運石牌站(2號出口),北投區,121.515677,25.114513,14,20,25,27,25,18,22,27,18,24,29,42,31,26,21,20,17,11,21,20,12,13,21,18,15,20,23,22,27,22,12,3,17,15,6,1,5,5,14,21,8,27,33,31,25,27,27,31,20,17,25,24,36,35,21,7,5,22,24,31,26,27,29,38,46,20,19,28,20,12,5,13,6,7,14,8,23,23,33,35,27,24,19,22,15,25,15,10,16,11,18,20,14,10,0,3,11,10,10,12,6,23,0,12,8,4,4,8,16,23,28,31,29,32,25,29,44,19,19,30,7,6,12,0,0,14
136,國立臺北護理健康大學,北投區,121.517512,25.118049,18,18,12,11,16,19,11,14,17,22,19,7,9,6,19,18,10,5,10,14,17,18,20,12,11,17,21,22,8,9,8,18,15,15,9,14,15,27,17,6,17,14,13,19,24,22,20,16,10,15,20,13,13,13,12,20,18,9,11,8,11,10,4,7,0,10,7,6,2,3,4,3,10,16,7,4,17,17,14,20,18,20,15,2,9,7,9,7,5,10,11,15,4,16,17,12,12,21,24,23,15,5,23,18,15,12,10,13,10,4,8,13,13,11,19,27,18,11,6,15,9,7,13,10,9,8
137,國防大學,北投區,121.493066,25.137976,19,17,16,14,12,15,15,18,17,19,13,0,3,15,22,43,41,31,25,21,21,25,23,23,22,19,19,19,13,5,1,10,14,17,23,28,20,22,18,19,18,15,13,3,2,2,0,0,1,0,1,13,20,25,12,11,6,0,11,8,9,8,7,3,4,3,14,26,29,20,20,21,23,20,15,24,16,16,17,17,13,17,18,19,24,11,22,38,35,29,37,40,30,18,19,20,20,19,19,17,17,11,1,5,16,20,19,23,21,22,19,20,18,18,19,20,19,20,18,18,10,14,15,24,24,28
138,捷運永春站(2號出口),信義區,121.575372,25.040558,10,14,2,15,8,7,17,20,9,14,1,10,29,13,5,11,20,23,15,2,1,13,20,21,26,12,27,8,15,22,29,4,7,2,11,10,4,9,2,3,13,20,21,3,18,23,23,8,6,16,18,14,11,2,25,21,23,13,25,29,21,15,12,2,16,5,9,9,9,6,7,2,8,10,18,9,20,20,24,5,10,7,1,2,2,10,12,8,2,7,0,2,0,4,3,6,28,24,28,15,12,8,24,9,24,13,17,18,14,23,2,1,12,14,24,17,22,24,16,18,23,23,5,11,5,22
139,永樂市場,大同區,121.510549,25.054501,18,14,30,12,22,19,23,21,20,17,3,20,8,6,10,4,4,10,13,20,7,27,6,5,15,23,17,21,13,2,0,0,0,8,20,11,13,15,16,15,23,6,4,17,20,29,23,16,11,10,9,3,1,3,7,9,14,22,3,1,10,21,23,18,0,1,10,10,15,9,11,13,15,14,2,4,8,8,0,18,32,37,17,14,10,17,16,11,18,17,16,11,35,8,9,9,15,15,20,22,23,5,22,16,12,11,19,20,11,9,30,16,23,14,19,4,21,24,32,21,20,13,6,2,10,10
140,捷運大橋頭站(2號出口),大同區,121.512909,25.063404,27,36,23,18,39,28,23,23,35,36,28,37,33,39,28,27,22,12,7,15,13,4,16,9,10,7,20,12,2,16,28,19,20,15,9,4,19,35,14,22,17,8,6,6,10,24,15,13,19,20,9,1,0,1,17,23,22,11,8,5,18,8,11,1,10,1,13,15,13,10,0,21,9,19,9,13,12,12,11,36,41,32,25,19,25,21,6,22,23,16,18,26,18,17,8,12,9,11,31,30,19,8,31,39,40,32,21,21,12,20,14,21,31,32,32,35,35,36,27,10,18,30,32,34,32,23
141,文山行政中心,文山區,121.569984,24.989902,9,10,15,14,14,16,13,15,17,20,17,14,24,35,19,19,25,25,9,10,10,10,9,7,9,5,6,9,16,18,19,20,16,18,19,21,10,10,12,11,11,11,11,8,11,13,14,14,13,10,8,5,11,12,16,16,26,29,29,28,29,14,16,15,19,13,5,8,7,5,9,9,8,13,13,18,17,17,18,19,18,18,15,12,6,1,7,8,8,8,8,8,8,8,23,24,25,26,26,28,27,22,23,27,13,17,19,23,13,13,17,16,14,17,15,13,14,16,16,10,16,16,6,8,9,8
142,捷運木柵站,文山區,121.574214,24.997747,15,21,21,21,20,22,3,17,17,17,18,17,12,6,21,17,21,17,18,19,19,19,36,39,27,27,30,26,21,11,18,25,23,35,31,31,30,31,33,31,29,27,23,22,22,21,21,20,18,19,35,37,35,31,25,27,27,27,27,27,31,24,27,28,27,27,28,24,22,18,13,6,13,11,12,13,23,23,24,23,26,21,18,22,24,22,19,25,19,12,8,9,10,10,24,23,15,13,12,8,7,14,17,29,20,21,19,16,21,19,19,22,23,18,18,18,16,31,27,14,13,9,14,10,6,16
143,捷運動物園站(2號出口),文山區,121.578752,24.997659,26,27,26,24,20,19,18,16,17,26,30,24,7,2,14,36,34,27,24,24,26,20,21,22,19,15,18,14,13,12,7,13,8,1,2,0,14,15,7,14,14,16,14,13,12,12,12,11,12,4,7,2,2,0,19,19,26,28,29,30,29,29,35,35,26,25,25,18,10,3,0,8,15,15,17,21,21,21,23,25,24,39,33,30,24,23,22,25,21,13,21,21,19,25,34,31,30,25,27,29,25,27,19,16,6,2,0,11,8,6,15,27,28,29,30,29,29,24,24,23,15,11,13,12,0,8
144,國立政治大學,文山區,121.576536,24.988363,21,26,28,32,33,32,31,28,33,24,22,26,36,48,56,38,40,46,27,26,25,30,27,32,34,37,39,42,39,46,53,52,37,43,45,42,20,19,19,20,23,22,18,22,22,25,25,24,23,27,14,16,20,24,20,22,29,33,33,33,32,34,33,32,31,24,25,28,33,29,38,42,39,41,40,38,40,40,43,41,45,28,20,20,13,16,9,4,12,27,17,18,21,19,20,23,28,15,16,15,15,18,9,6,6,11,18,18,21,24,29,14,14,17,18,18,19,20,19,9,17,27,24,17,16,21
145,樹德公園,大同區,121.516149,25.066688,28,30,32,25,19,19,12,11,4,1,1,2,14,24,26,13,19,22,24,24,24,26,25,16,14,16,1,5,13,18,5,16,6,9,10,17,34,24,21,16,15,14,16,21,22,21,21,25,20,28,24,19,27,32,30,31,31,27,26,25,24,16,16,22,19,11,12,17,9,12,17,26,34,34,27,21,29,29,32,20,26,27,18,3,4,11,6,18,22,29,23,12,8,14,19,11,8,3,6,7,8,3,12,12,4,8,21,23,24,17,11,8,15,14,17,17,17,21,15,6,5,8,12,12,20,28
146,捷運士林站(2號出口),士林區,121.526556,25.092546,34,30,6,14,16,8,11,13,11,13,18,28,27,14,3,0,13,2,27,13,15,19,22,22,28,30,20,14,21,35,40,35,20,0,12,14,24,19,7,8,10,16,18,22,24,16,23,33,31,16,17,0,2,12,24,15,15,9,11,18,16,11,0,5,17,4,20,12,4,1,1,16,21,24,16,9,20,20,20,6,2,4,1,13,16,41,18,24,18,8,28,18,1,23,21,27,34,24,23,19,33,19,17,12,0,3,10,3,19,20,4,4,25,24,24,26,27,17,17,20,32,29,21,1,6,14
147,士林運動中心,士林區,121.521814,25.089175,19,5,13,16,20,13,12,8,9,17,28,17,2,3,1,19,20,19,17,23,25,29,16,11,10,8,13,15,24,2,6,24,24,22,12,18,17,11,12,19,15,12,5,0,8,11,19,8,9,27,7,9,18,22,21,24,9,9,2,9,11,19,21,20,22,2,13,23,13,4,4,7,21,19,21,22,15,15,6,15,14,14,15,18,6,20,10,12,12,12,22,21,30,28,16,5,1,5,7,9,9,22,17,15,16,7,3,18,18,14,17,28,22,17,22,12,13,20,29,16,25,18,21,13,6,22
148,捷運明德站,北投區,121.518316,25.110331,31,27,14,8,3,19,20,12,14,13,7,3,20,15,13,6,8,11,8,8,4,17,27,22,30,29,28,33,32,25,22,21,17,35,42,44,35,32,19,16,13,11,14,11,16,16,14,10,9,2,11,7,14,12,16,17,17,25,26,24,23,25,26,26,30,24,31,23,29,40,50,43,47,21,33,29,39,39,44,45,43,46,39,41,45,48,53,53,58,60,48,37,31,26,19,21,21,10,12,5,1,20,24,16,21,29,31,34,31,22,12,15,20,11,11,7,7,26,22,23,27,34,34,27,27,18
149,北投運動中心,北投區,121.509621,25.116665,45,11,3,20,15,19,18,11,14,7,1,8,31,26,36,55,60,51,52,31,31,12,10,4,17,19,12,6,15,35,14,33,24,21,28,33,39,10,17,8,11,9,4,8,8,9,7,8,24,25,18,25,37,44,46,57,58,45,39,34,24,15,27,18,16,14,14,23,33,20,32,39,36,32,26,16,27,27,22,23,21,16,16,2,10,12,28,27,36,40,40,2,2,2,1,3,6,7,10,8,9,22,9,25,28,23,28,35,47,14,8,4,1,10,15,7,12,17,24,13,35,26,20,18,27,32
150,松德公園,信義區,121.57343,25.036568,10,11,27,35,16,33,13,14,21,17,15,31,17,23,24,37,35,22,13,29,28,20,18,28,8,10,16,15,11,10,1,8,6,12,17,17,17,11,11,20,15,22,1,18,17,17,19,18,13,20,19,21,20,19,20,16,12,11,0,0,10,5,12,13,16,19,10,10,15,23,28,29,22,21,13,16,13,13,9,21,22,13,16,18,12,8,15,31,23,26,12,24,20,31,22,18,12,16,16,22,11,19,11,8,17,19,28,25,12,21,34,29,28,22,17,23,31,33,25,17,0,4,1,17,30,23
151,考試院,文山區,121.549827,24.987507,7,9,13,14,15,13,13,10,16,14,9,6,4,14,7,17,22,18,11,12,13,11,12,12,13,12,12,12,3,4,12,23,23,10,18,17,8,6,13,11,10,10,17,16,16,17,17,16,10,7,8,4,6,18,20,27,15,14,12,12,8,10,7,7,2,0,15,11,20,12,19,21,14,17,17,18,22,22,20,19,16,17,13,10,3,9,8,15,19,20,6,7,19,8,7,6,12,14,14,13,9,11,19,24,26,8,8,8,14,11,18,12,8,12,11,10,12,12,8,3,5,5,7,12,20,23
152,百齡國小,士林區,121.519175,25.08521,31,25,5,34,32,20,15,20,26,34,13,29,9,34,2,14,15,17,36,40,39,18,28,31,21,24,22,26,32,16,1,6,11,9,17,24,32,36,29,5,29,24,11,10,9,11,11,6,15,9,7,12,27,24,30,27,8,21,34,20,22,10,7,10,17,17,13,8,6,22,18,30,30,30,21,16,15,15,8,23,36,27,25,8,18,1,8,18,22,18,26,37,31,8,5,30,22,19,15,22,13,5,16,13,7,16,18,30,20,0,19,35,38,27,13,8,11,11,13,10,13,15,17,11,10,28
153,蔣渭水紀念公園,大同區,121.516299,25.059885,19,15,20,19,18,18,22,11,6,7,5,4,9,16,14,18,17,16,19,25,24,23,23,22,21,23,7,8,6,7,3,9,7,9,18,26,21,20,15,7,3,0,2,6,8,9,9,16,5,14,13,16,20,21,25,24,20,23,21,16,11,15,21,2,1,7,4,14,19,27,34,32,21,20,16,11,12,12,11,12,9,11,12,12,2,5,6,11,10,15,15,15,9,1,1,2,6,3,2,1,4,6,16,11,9,15,20,29,24,24,18,13,6,4,3,5,4,1,2,7,14,9,14,12,21,26
154,中正基河路口,士林區,121.519867,25.093396,16,26,29,17,16,16,14,16,16,10,3,12,15,26,25,35,12,16,16,20,23,22,22,22,21,28,32,37,19,4,6,11,14,20,22,26,14,24,26,27,26,28,25,27,29,30,25,26,32,10,7,17,18,20,21,22,19,18,22,21,20,19,16,15,10,18,14,18,12,17,24,16,24,24,24,22,20,20,19,18,22,21,20,17,11,7,5,8,15,14,13,24,28,28,15,18,17,19,23,25,27,21,12,8,9,4,8,18,14,19,27,28,29,19,13,15,23,27,30,22,21,14,11,18,24,27
155,瑞光港墘路口,內湖區,121.57505,25.076193,9,15,4,3,11,23,15,10,7,12,3,4,1,1,1,2,1,1,4,15,17,0,0,2,2,2,0,0,1,0,2,2,0,4,7,1,6,13,8,13,4,4,2,10,12,14,10,10,2,6,8,11,11,8,11,13,13,10,17,20,21,28,12,20,22,24,16,11,16,23,22,18,19,19,17,21,24,24,24,18,17,17,20,21,20,15,16,15,17,17,18,22,13,3,12,16,19,14,12,11,17,10,3,7,2,1,1,2,11,19,13,4,0,12,8,11,11,14,13,0,0,2,3,5,2,0
156,東湖國小,內湖區,121.61538,25.06853,5,5,3,7,8,13,11,10,14,6,1,7,14,3,7,15,17,22,8,2,1,5,6,4,13,10,3,5,1,7,11,25,9,3,3,1,17,9,11,9,11,13,5,6,6,7,7,9,14,1,2,2,11,17,15,13,13,13,22,20,25,28,10,9,7,10,13,13,27,3,3,5,6,10,10,8,9,9,8,7,8,6,9,10,14,9,7,11,23,26,8,7,6,3,6,13,16,21,19,19,17,17,23,1,5,9,22,25,13,11,9,7,6,7,10,14,20,6,4,4,22,14,16,9,7,8
157,麗山國小,內湖區,121.571467,25.082703,24,18,9,7,10,8,9,10,6,9,7,9,5,5,7,6,6,11,4,3,3,1,1,1,3,5,0,2,3,5,8,2,5,4,6,9,18,13,9,3,5,3,3,4,2,3,4,4,4,3,5,4,9,13,13,11,8,7,4,11,13,7,9,11,6,2,6,3,4,9,14,17,14,14,9,8,24,24,22,21,19,15,12,10,19,18,18,25,35,39,24,19,19,14,15,11,8,9,5,8,5,9,18,10,19,18,23,25,18,14,7,4,2,4,7,3,4,9,8,7,13,11,11,10,15,18
158,捷運東湖站,內湖區,121.61355,25.067026,10,15,19,21,24,23,26,22,20,17,12,7,10,10,7,4,2,3,5,24,24,28,27,28,27,23,23,20,4,4,5,0,2,6,3,12,13,20,37,40,40,41,30,19,31,32,33,37,34,28,19,20,21,18,16,17,22,30,28,32,31,29,33,30,23,16,2,10,14,15,3,5,22,25,30,41,40,40,46,32,29,30,23,11,8,9,10,23,31,26,17,26,34,39,39,33,25,24,26,23,24,23,19,16,15,14,12,6,14,26,37,44,33,29,34,30,27,24,12,9,10,9,1,9,0,8
159,捷運西湖站(1號出口),內湖區,121.566695,25.082866,17,26,12,1,2,2,1,0,1,1,2,8,1,4,5,4,3,7,11,14,13,4,3,3,1,1,1,2,3,1,0,1,3,4,2,18,22,26,23,17,16,18,22,21,22,20,20,23,29,15,14,4,2,4,9,5,6,8,15,16,15,16,14,10,9,6,8,10,10,9,3,2,13,14,18,23,24,24,16,18,18,14,7,21,12,19,6,20,16,11,11,10,7,2,2,4,7,0,4,4,15,17,15,6,5,5,2,18,17,24,11,0,5,6,7,2,3,4,6,11,12,5,5,3,0,1
161,大豐公園,北投區,121.503768,25.131143,32,27,26,26,23,21,22,22,25,24,24,13,23,27,29,34,42,42,35,35,34,29,24,28,30,38,41,41,31,9,19,27,38,48,37,46,40,37,40,38,41,38,46,38,39,39,26,28,13,11,22,29,39,40,42,39,37,20,37,33,32,37,39,28,27,24,28,32,31,46,35,35,32,27,27,24,23,23,24,25,24,25,26,26,20,21,25,35,41,50,40,32,29,29,36,35,17,20,28,34,24,1,10,22,31,36,46,41,35,35,33,34,30,32,31,25,25,28,8,2,11,27,36,25,35,41
162,捷運中山國小站(4號出口),中山區,121.52772,25.062924,48,41,30,20,18,18,19,11,13,8,7,3,13,19,36,37,41,50,47,23,20,23,17,10,13,8,5,2,7,8,9,15,13,26,44,43,52,43,27,26,23,19,22,15,13,9,10,11,5,3,10,10,20,26,34,24,23,17,10,8,6,10,7,4,7,1,4,3,6,7,23,27,56,31,44,43,30,30,32,33,31,23,18,1,2,1,16,22,17,25,53,23,16,19,15,11,9,13,13,4,7,8,3,19,19,17,22,29,46,46,30,22,22,19,13,7,1,1,12,12,12,18,19,20,32,30
163,捷運麟光站2號出口,大安區,121.559279,25.018097,47,39,27,18,40,37,41,39,39,43,51,61,36,37,46,58,68,48,53,35,35,42,36,35,39,38,45,44,48,22,25,35,36,42,52,53,59,52,41,35,30,26,31,26,29,18,21,17,23,38,17,29,41,47,59,56,50,47,44,40,31,32,32,35,34,18,17,21,27,41,56,64,63,62,52,35,41,41,37,35,35,38,41,17,16,7,17,32,36,38,43,35,25,18,31,25,28,26,24,23,20,19,30,47,58,63,42,41,48,41,31,38,22,20,21,18,13,13,14,9,30,38,28,33,44,46
164,捷運奇岩站,北投區,121.500801,25.126286,18,20,19,31,23,30,35,38,40,40,39,33,29,16,46,4,9,9,18,30,31,26,15,34,28,33,41,37,38,19,5,25,18,12,8,3,19,28,16,30,31,37,35,42,37,41,43,40,32,38,26,28,9,11,11,17,19,26,39,28,29,36,43,42,41,26,20,25,18,23,15,13,5,7,7,14,34,34,37,46,47,41,40,26,20,18,22,14,2,7,14,19,19,22,18,26,24,17,9,12,27,18,36,3,16,10,0,11,20,22,26,36,18,33,25,30,27,39,38,38,22,12,17,10,16,7
165,捷運唭哩岸站(2號出口),北投區,121.505693,25.120788,8,22,14,15,20,15,19,20,21,17,15,21,2,6,3,11,16,17,5,12,13,11,8,5,0,2,3,10,6,1,1,0,2,5,4,5,1,5,11,14,10,18,18,15,17,20,21,20,17,10,7,4,9,2,5,4,0,7,6,9,18,22,26,29,18,22,21,27,32,30,31,29,27,25,28,35,38,38,36,31,31,28,19,7,14,33,32,37,23,11,13,14,9,2,4,4,6,2,1,4,6,7,6,2,10,17,22,13,10,10,16,8,6,2,2,6,6,2,4,7,4,1,3,21,22,20
166,臺北市立景美女中,文山區,121.556177,24.980602,12,15,13,16,15,14,15,18,20,6,3,14,18,1,7,4,5,7,16,21,21,20,18,18,14,16,16,18,7,18,24,34,2,1,4,6,11,14,14,18,19,23,22,24,27,15,15,15,7,7,10,10,16,17,10,10,12,13,14,15,13,15,18,18,15,8,12,8,9,15,20,16,17,19,32,23,17,17,13,16,20,20,15,11,18,10,7,12,23,14,15,21,20,17,16,14,8,12,15,7,0,2,14,25,8,7,13,15,12,13,17,11,17,17,18,23,24,24,20,9,29,27,4,3,10,16
167,臺北市立天文館,士林區,121.518046,25.095714,4,19,31,41,20,33,30,34,25,19,11,5,15,12,14,18,17,16,11,41,38,28,30,30,33,29,35,35,26,32,30,29,28,29,30,30,19,24,40,31,33,33,37,47,39,39,34,32,32,28,30,29,30,30,32,38,18,30,30,34,37,48,31,39,30,23,9,5,2,6,6,7,10,10,19,24,28,28,26,32,35,44,26,15,5,4,6,7,9,9,11,13,20,24,25,25,25,32,39,37,29,16,10,14,14,15,15,9,10,15,33,31,32,29,36,42,42,45,40,26,15,14,15,14,16,17
168,河堤國小,中正區,121.522855,25.02288,29,16,3,0,9,6,4,2,6,8,9,16,18,12,8,23,26,28,30,3,1,14,14,9,7,2,1,5,9,26,16,29,19,26,35,36,37,32,15,11,9,5,0,10,12,11,11,9,11,16,14,17,25,25,32,29,34,23,20,12,8,6,7,5,5,10,15,19,19,15,20,24,32,31,30,37,32,32,30,28,28,16,8,4,3,1,5,7,8,11,36,25,7,6,4,1,2,5,3,5,4,14,19,30,21,25,42,39,30,17,0,1,1,3,2,5,5,8,10,19,8,13,16,25,31,34
169,植物園,中正區,121.509813,25.030015,8,15,30,26,25,17,7,16,27,27,21,7,9,16,19,25,22,12,20,43,43,41,31,28,25,39,41,36,26,5,2,0,8,16,19,25,14,24,43,42,39,35,38,30,30,26,21,17,17,9,12,18,24,30,31,28,26,21,22,20,23,22,24,23,19,17,18,14,26,36,37,39,21,19,20,19,19,19,21,19,17,17,16,25,19,25,27,32,44,31,15,17,32,32,34,35,34,41,41,33,25,12,16,20,26,26,27,29,15,18,39,25,24,17,16,15,16,23,23,1,6,5,7,16,24,28
