sno,sna,sarea,lng,lat,2018/8/1-7,2018/8/1-8  ,2018/8/1-9  ,2018/8/1-10  ,2018/8/1-11,2018/8/1-12,2018/8/1-13,2018/8/1-14,2018/8/1-15,2018/8/1-16,2018/8/1-17,2018/8/1-18,2018/8/1-19,2018/8/1-20,2018/8/1-21,2018/8/1-22,2018/8/1-23,2018/8/1-24,2018/8/2-7,2018/8/2-8,2018/8/2-9,2018/8/2-10,2018/8/2-11,2018/8/2-12,2018/8/2-13,2018/8/2-14,2018/8/2-15,2018/8/2-16,2018/8/2-17,2018/8/2-18,2018/8/2-19,2018/8/2-20,2018/8/2-21,2018/8/2-22,2018/8/2-23,2018/8/2-24,2018/8/3-7,2018/8/3-8,2018/8/3-9,2018/8/3-10,2018/8/3-11,2018/8/3-12,2018/8/3-13,2018/8/3-14,2018/8/3-15,2018/8/3-16,2018/8/3-17,2018/8/3-18,2018/8/3-19,2018/8/3-20,2018/8/3-21,2018/8/3-22,2018/8/3-23,2018/8/3-24,2018/8/4-7,2018/8/4-8,2018/8/4-9,2018/8/4-10,2018/8/4-11,2018/8/4-12,2018/8/4-13,2018/8/4-14,2018/8/4-15,2018/8/4-16,2018/8/4-17,2018/8/4-18,2018/8/4-19,2018/8/4-20,2018/8/4-21,2018/8/4-22,2018/8/4-23,2018/8/4-24,2018/8/5-7,2018/8/5-8,2018/8/5-9,2018/8/5-10,2018/8/5-11,2018/8/5-12,2018/8/5-13,2018/8/5-14,2018/8/5-15,2018/8/5-16,2018/8/5-17,2018/8/5-18,2018/8/5-19,2018/8/5-20,2018/8/5-21,2018/8/5-22,2018/8/5-23,2018/8/5-24,2018/8/6-7,2018/8/6-8,2018/8/6-9,2018/8/6-10,2018/8/6-11,2018/8/6-12,2018/8/6-13,2018/8/6-14,2018/8/6-15,2018/8/6-16,2018/8/6-17,2018/8/6-18,2018/8/6-19,2018/8/6-20,2018/8/6-21,2018/8/6-22,2018/8/6-23,2018/8/6-24,2018/8/7-7,2018/8/7-8,2018/8/7-9,2018/8/7-10,2018/8/7-11,2018/8/7-12,2018/8/7-13,2018/8/7-14,2018/8/7-15,2018/8/7-16,2018/8/7-17,2018/8/7-18,2018/8/7-19,2018/8/7-20,2018/8/7-21,2018/8/7-22,2018/8/7-23,2018/8/7-24
21,民生敦化路口,松山區,121.548982,25.057985,11,30,37,44,57,48,50,47,36,48,48,37,37,8,0,0,0,0,12,25,28,46,31,31,28,33,28,36,20,4,37,16,2,1,0,7,11,4,32,44,10,31,26,29,34,40,40,56,54,35,34,27,17,12,8,4,15,24,24,28,28,27,23,22,28,22,20,43,39,37,41,38,20,21,25,28,25,25,25,27,24,36,27,24,20,17,21,25,22,14,15,20,37,52,37,27,24,32,35,34,29,20,6,30,12,14,12,17,27,5,33,43,34,24,24,22,28,28,29,55,47,32,32,22,16,10
22,松山車站,信義區,121.57845,25.048824,27,25,22,26,28,25,28,29,14,7,13,1,26,23,44,25,7,0,33,7,8,11,29,20,30,27,21,23,19,30,30,33,34,21,1,11,22,4,5,4,17,22,27,16,15,11,9,15,8,30,42,19,1,3,19,28,25,39,28,38,40,35,30,42,23,15,5,11,37,11,0,13,8,22,8,5,38,38,23,26,27,28,20,13,22,19,14,1,1,11,22,18,10,6,25,33,16,20,16,11,12,17,29,25,37,19,13,5,22,11,19,21,23,31,35,28,16,23,8,35,7,25,18,22,2,13
23,東新國小,南港區,121.602798,25.055074,17,22,17,11,11,8,6,4,3,3,3,1,10,15,5,8,16,22,20,20,20,13,11,11,12,15,7,8,5,11,12,19,9,13,27,19,20,26,15,13,8,8,3,2,6,7,8,14,5,5,10,15,24,31,18,15,13,5,15,1,1,7,10,11,2,4,5,12,17,7,26,26,19,17,12,25,17,17,11,12,14,12,7,14,13,23,13,18,26,27,16,27,12,6,5,4,2,4,3,1,3,5,6,18,8,14,25,22,19,14,23,15,15,12,10,8,7,6,5,4,10,12,3,17,30,18
24,信義建國路口,大安區,121.53747,25.03293,15,8,1,0,5,21,9,19,13,12,2,2,0,6,15,1,2,3,14,6,3,1,17,17,2,13,9,2,7,17,28,25,28,43,30,34,22,7,2,7,15,18,13,8,29,41,26,21,12,4,18,26,26,28,26,22,6,4,27,15,12,12,17,39,45,21,1,6,13,21,24,18,34,34,8,8,16,16,26,25,19,20,43,1,4,3,3,2,1,4,24,25,8,0,23,20,2,0,6,19,10,1,3,9,18,25,24,27,37,35,10,12,15,11,10,25,15,12,19,0,11,17,23,40,30,29
25,永吉松信路口,信義區,121.57205,25.04543,23,13,21,15,22,25,19,20,19,21,9,1,11,16,12,23,29,14,23,14,12,13,9,4,7,4,13,6,11,10,16,20,9,11,24,16,26,17,2,19,12,17,12,6,10,10,11,6,4,14,6,21,17,13,11,20,16,23,10,11,13,14,10,24,23,1,17,8,2,14,12,16,21,14,10,6,6,6,18,16,1,14,13,13,18,12,8,8,19,17,24,12,2,16,12,7,1,12,6,10,12,2,18,17,17,19,28,10,19,22,29,27,21,9,1,8,11,17,22,15,30,6,10,12,17,15
26,捷運昆陽站(1號出口),南港區,121.592375,25.050142,16,25,18,10,12,13,15,26,15,27,19,10,20,13,11,6,3,1,8,15,15,20,16,25,33,26,24,25,27,31,24,23,6,8,9,8,5,22,25,16,15,16,18,20,18,16,36,33,27,9,11,8,11,11,24,22,21,21,25,29,30,25,23,16,26,25,30,32,20,22,14,16,20,21,20,17,23,23,28,31,33,25,34,27,23,24,23,22,13,15,32,38,30,23,19,22,22,16,21,18,34,23,11,3,15,15,11,11,4,20,23,26,27,18,13,8,22,24,22,30,4,2,12,9,12,5
27,捷運南港展覽館站(5號出口),南港區,121.61669,25.05469,3,22,1,4,10,22,15,25,27,30,16,15,32,33,32,9,11,7,6,22,21,9,16,14,18,15,27,24,35,19,13,10,19,0,4,7,2,23,13,4,15,19,26,34,28,25,21,25,16,22,12,17,10,1,2,5,11,30,12,18,30,17,16,21,10,25,24,18,10,26,5,20,2,16,22,27,18,18,25,17,19,19,12,14,22,4,11,17,4,17,15,31,14,17,11,17,10,13,11,16,14,28,26,8,19,23,1,10,8,23,14,14,11,24,24,37,21,17,19,19,5,13,9,5,1,11
28,五常公園,信義區,121.57467,25.04814,9,23,9,27,22,22,27,15,16,14,17,13,9,15,20,11,18,17,18,28,27,25,26,20,15,12,20,19,18,10,18,15,4,15,28,17,15,6,15,13,9,3,6,3,7,4,5,8,9,9,12,5,13,13,14,23,20,19,19,14,17,13,10,9,10,15,4,4,6,9,23,24,22,24,21,23,20,20,18,13,8,22,14,10,11,6,17,20,29,16,10,12,2,1,1,2,3,6,7,11,14,12,24,29,5,10,21,22,7,7,4,18,18,7,9,10,8,7,6,1,17,29,7,15,24,23
29,金山愛國路口,大安區,121.52655,25.03164,13,32,52,37,35,31,29,26,39,38,33,15,8,13,22,20,9,6,10,41,43,48,49,43,39,51,46,46,32,1,2,6,5,2,8,8,13,34,43,47,47,38,27,27,26,31,31,32,25,20,16,9,0,10,18,10,8,13,18,21,12,6,18,18,7,1,21,25,28,28,20,16,17,20,32,29,18,18,22,20,18,15,14,4,4,4,21,21,22,20,12,31,46,50,33,26,24,27,26,40,33,12,8,1,2,0,8,9,9,20,43,41,39,30,30,45,47,46,39,9,0,6,6,7,0,0
30,基隆長興路口,大安區,121.544352,25.017054,50,42,38,17,16,23,21,28,27,30,11,0,0,12,36,63,36,38,47,48,42,30,17,25,13,24,52,64,66,2,0,16,31,60,48,55,62,59,66,45,43,38,20,62,63,63,57,53,30,12,2,29,60,64,58,60,47,51,54,51,38,32,52,57,41,30,12,19,45,65,74,56,57,55,51,30,27,27,16,23,28,46,66,11,5,11,24,17,50,55,45,42,41,36,29,55,45,42,46,39,56,31,11,20,44,25,41,57,52,50,47,43,28,48,32,35,37,35,47,15,12,23,28,36,57,52
