sno,sna,sarea,lng,lat,2018/8/1-7,2018/8/1-8  ,2018/8/1-9  ,2018/8/1-10  ,2018/8/1-11,2018/8/1-12,2018/8/1-13,2018/8/1-14,2018/8/1-15,2018/8/1-16,2018/8/1-17,2018/8/1-18,2018/8/1-19,2018/8/1-20,2018/8/1-21,2018/8/1-22,2018/8/1-23,2018/8/1-24,2018/8/2-7,2018/8/2-8,2018/8/2-9,2018/8/2-10,2018/8/2-11,2018/8/2-12,2018/8/2-13,2018/8/2-14,2018/8/2-15,2018/8/2-16,2018/8/2-17,2018/8/2-18,2018/8/2-19,2018/8/2-20,2018/8/2-21,2018/8/2-22,2018/8/2-23,2018/8/2-24,2018/8/3-7,2018/8/3-8,2018/8/3-9,2018/8/3-10,2018/8/3-11,2018/8/3-12,2018/8/3-13,2018/8/3-14,2018/8/3-15,2018/8/3-16,2018/8/3-17,2018/8/3-18,2018/8/3-19,2018/8/3-20,2018/8/3-21,2018/8/3-22,2018/8/3-23,2018/8/3-24,2018/8/4-7,2018/8/4-8,2018/8/4-9,2018/8/4-10,2018/8/4-11,2018/8/4-12,,,,,,,,,,,,,,,,,,,,,,,
49,龍門廣場,大安區,121.548252,25.040901,33,37,9,17,15,23,24,34,36,33,45,34,36,43,35,16,1,31,45,11,15,15,7,15,22,24,24,34,25,7,19,26,23,2,6,3,34,16,3,5,15,21,28,38,48,9,12,12,3,42,24,7,7,0,16,19,34,5,12,23,,,,,,,,,,,,,,,,,,,,,,,
50,民權運動公園,松山區,121.560186,25.062002,39,42,30,25,27,27,29,32,25,29,29,24,22,29,38,25,27,32,20,20,18,16,15,15,16,18,15,16,13,4,3,3,9,12,16,20,20,25,19,22,20,18,19,16,15,18,17,18,12,7,12,14,17,26,24,24,20,23,23,26,,,,,,,,,,,,,,,,,,,,,,,
51,建國農安街口,中山區,121.536775,25.065031,9,12,10,5,5,4,5,5,8,8,16,17,2,9,14,17,18,22,13,4,7,3,7,7,5,11,10,6,4,9,11,15,21,21,21,21,26,22,17,14,15,12,8,4,8,7,2,2,1,8,10,9,17,15,23,22,22,21,28,21,,,,,,,,,,,,,,,,,,,,,,,
52,建國長春路口,中山區,121.536925,25.054761,18,11,6,8,12,12,12,6,9,9,14,9,6,10,1,7,3,5,5,19,21,6,2,7,4,5,6,3,0,1,1,6,2,2,7,10,12,20,14,17,17,14,20,12,20,22,23,13,8,2,4,3,4,6,11,4,7,10,12,5,,,,,,,,,,,,,,,,,,,,,,,
53,八德市場,中山區,121.536609,25.044781,9,4,3,2,3,2,2,4,7,8,9,0,1,6,12,20,15,15,13,14,15,17,13,13,17,16,11,15,5,1,0,9,9,9,13,13,3,4,3,3,2,5,1,5,9,10,11,12,5,7,5,9,15,15,16,21,18,9,1,11,,,,,,,,,,,,,,,,,,,,,,,
54,臺北市立圖書館(總館),大安區,121.538073,25.028798,16,0,0,7,8,14,13,17,16,4,2,6,18,15,5,14,18,15,11,1,0,3,8,11,5,6,3,4,4,9,26,25,16,30,21,21,11,1,2,6,8,12,12,20,13,21,15,14,4,22,17,23,15,11,16,11,9,9,17,6,,,,,,,,,,,,,,,,,,,,,,,
55,臺北田徑場,松山區,121.549408,25.049505,6,10,21,25,25,30,24,15,5,5,10,0,1,10,11,0,1,0,10,38,38,29,18,17,16,12,19,15,20,5,2,0,15,7,3,0,14,20,27,30,21,19,15,17,17,9,10,10,25,17,2,3,0,14,7,7,6,5,3,9,,,,,,,,,,,,,,,,,,,,,,,
56,仁愛林森路口,中正區,121.522334,25.038954,16,31,32,21,17,9,12,14,13,12,26,21,20,11,15,2,3,6,10,10,15,23,18,13,10,20,21,31,26,8,7,10,11,13,11,17,22,24,31,27,25,24,17,12,14,27,31,28,30,24,29,31,15,18,8,13,22,30,17,13,,,,,,,,,,,,,,,,,,,,,,,
57,新生和平路口,大安區,121.53519,25.026217,19,29,33,27,21,9,0,13,5,7,1,2,7,21,27,29,19,26,10,15,16,28,33,27,20,32,35,36,35,1,6,8,11,9,5,9,12,21,30,31,36,41,39,24,36,30,21,16,9,21,27,28,13,12,22,22,28,23,14,12,,,,,,,,,,,,,,,,,,,,,,,
58,捷運善導寺站(1號出口),中正區,121.5222,25.045267,12,24,16,25,18,5,7,19,19,16,20,11,13,3,4,8,6,2,14,25,26,26,24,27,25,34,32,30,15,6,1,4,5,5,3,2,10,15,6,6,0,13,6,15,33,38,28,28,23,11,10,23,16,15,9,4,20,19,24,34,,,,,,,,,,,,,,,,,,,,,,,
