sno,sna,sarea,lng,lat,2018/8/1-7,2018/8/1-8  ,2018/8/1-9  ,2018/8/1-10  ,2018/8/1-11,2018/8/1-12,2018/8/1-13,2018/8/1-14,2018/8/1-15,2018/8/1-16,2018/8/1-17,2018/8/1-18,2018/8/1-19,2018/8/1-20,2018/8/1-21,2018/8/1-22,2018/8/1-23,2018/8/1-24,2018/8/2-7,2018/8/2-8,2018/8/2-9,2018/8/2-10,2018/8/2-11,2018/8/2-12,2018/8/2-13,2018/8/2-14,2018/8/2-15,2018/8/2-16,2018/8/2-17,2018/8/2-18,2018/8/2-19,2018/8/2-20,2018/8/2-21,2018/8/2-22,2018/8/2-23,2018/8/2-24,2018/8/3-7,2018/8/3-8,2018/8/3-9,2018/8/3-10,2018/8/3-11,2018/8/3-12,2018/8/3-13,2018/8/3-14,2018/8/3-15,2018/8/3-16,2018/8/3-17,2018/8/3-18,2018/8/3-19,2018/8/3-20,2018/8/3-21,2018/8/3-22,2018/8/3-23,2018/8/3-24,2018/8/4-7,2018/8/4-8,2018/8/4-9,2018/8/4-10,2018/8/4-11,2018/8/4-12,,,,,,,,,,,,,,,,,,,,,,,
148,捷運明德站,北投區,121.518316,25.110331,31,27,14,8,3,19,20,12,14,13,7,3,20,15,13,6,8,11,8,8,4,17,27,22,30,29,28,33,32,25,22,21,17,35,42,44,35,32,19,16,13,11,14,11,16,16,14,10,9,2,11,7,14,12,16,17,17,25,26,24,,,,,,,,,,,,,,,,,,,,,,,
149,北投運動中心,北投區,121.509621,25.116665,45,11,3,20,15,19,18,11,14,7,1,8,31,26,36,55,60,51,52,31,31,12,10,4,17,19,12,6,15,35,14,33,24,21,28,33,39,10,17,8,11,9,4,8,8,9,7,8,24,25,18,25,37,44,46,57,58,45,39,34,,,,,,,,,,,,,,,,,,,,,,,
150,松德公園,信義區,121.57343,25.036568,10,11,27,35,16,33,13,14,21,17,15,31,17,23,24,37,35,22,13,29,28,20,18,28,8,10,16,15,11,10,1,8,6,12,17,17,17,11,11,20,15,22,1,18,17,17,19,18,13,20,19,21,20,19,20,16,12,11,0,0,,,,,,,,,,,,,,,,,,,,,,,
151,考試院,文山區,121.549827,24.987507,7,9,13,14,15,13,13,10,16,14,9,6,4,14,7,17,22,18,11,12,13,11,12,12,13,12,12,12,3,4,12,23,23,10,18,17,8,6,13,11,10,10,17,16,16,17,17,16,10,7,8,4,6,18,20,27,15,14,12,12,,,,,,,,,,,,,,,,,,,,,,,
152,百齡國小,士林區,121.519175,25.08521,31,25,5,34,32,20,15,20,26,34,13,29,9,34,2,14,15,17,36,40,39,18,28,31,21,24,22,26,32,16,1,6,11,9,17,24,32,36,29,5,29,24,11,10,9,11,11,6,15,9,7,12,27,24,30,27,8,21,34,20,,,,,,,,,,,,,,,,,,,,,,,
153,蔣渭水紀念公園,大同區,121.516299,25.059885,19,15,20,19,18,18,22,11,6,7,5,4,9,16,14,18,17,16,19,25,24,23,23,22,21,23,7,8,6,7,3,9,7,9,18,26,21,20,15,7,3,0,2,6,8,9,9,16,5,14,13,16,20,21,25,24,20,23,21,16,,,,,,,,,,,,,,,,,,,,,,,
154,中正基河路口,士林區,121.519867,25.093396,16,26,29,17,16,16,14,16,16,10,3,12,15,26,25,35,12,16,16,20,23,22,22,22,21,28,32,37,19,4,6,11,14,20,22,26,14,24,26,27,26,28,25,27,29,30,25,26,32,10,7,17,18,20,21,22,19,18,22,21,,,,,,,,,,,,,,,,,,,,,,,
155,瑞光港墘路口,內湖區,121.57505,25.076193,9,15,4,3,11,23,15,10,7,12,3,4,1,1,1,2,1,1,4,15,17,0,0,2,2,2,0,0,1,0,2,2,0,4,7,1,6,13,8,13,4,4,2,10,12,14,10,10,2,6,8,11,11,8,11,13,13,10,17,20,,,,,,,,,,,,,,,,,,,,,,,
156,東湖國小,內湖區,121.61538,25.06853,5,5,3,7,8,13,11,10,14,6,1,7,14,3,7,15,17,22,8,2,1,5,6,4,13,10,3,5,1,7,11,25,9,3,3,1,17,9,11,9,11,13,5,6,6,7,7,9,14,1,2,2,11,17,15,13,13,13,22,20,,,,,,,,,,,,,,,,,,,,,,,
157,麗山國小,內湖區,121.571467,25.082703,24,18,9,7,10,8,9,10,6,9,7,9,5,5,7,6,6,11,4,3,3,1,1,1,3,5,0,2,3,5,8,2,5,4,6,9,18,13,9,3,5,3,3,4,2,3,4,4,4,3,5,4,9,13,13,11,8,7,4,11,,,,,,,,,,,,,,,,,,,,,,,
158,捷運東湖站,內湖區,121.61355,25.067026,10,15,19,21,24,23,26,22,20,17,12,7,10,10,7,4,2,3,5,24,24,28,27,28,27,23,23,20,4,4,5,0,2,6,3,12,13,20,37,40,40,41,30,19,31,32,33,37,34,28,19,20,21,18,16,17,22,30,28,32,,,,,,,,,,,,,,,,,,,,,,,
159,捷運西湖站(1號出口),內湖區,121.566695,25.082866,17,26,12,1,2,2,1,0,1,1,2,8,1,4,5,4,3,7,11,14,13,4,3,3,1,1,1,2,3,1,0,1,3,4,2,18,22,26,23,17,16,18,22,21,22,20,20,23,29,15,14,4,2,4,9,5,6,8,15,16,,,,,,,,,,,,,,,,,,,,,,,
161,大豐公園,北投區,121.503768,25.131143,32,27,26,26,23,21,22,22,25,24,24,13,23,27,29,34,42,42,35,35,34,29,24,28,30,38,41,41,31,9,19,27,38,48,37,46,40,37,40,38,41,38,46,38,39,39,26,28,13,11,22,29,39,40,42,39,37,20,37,33,,,,,,,,,,,,,,,,,,,,,,,
162,捷運中山國小站(4號出口),中山區,121.52772,25.062924,48,41,30,20,18,18,19,11,13,8,7,3,13,19,36,37,41,50,47,23,20,23,17,10,13,8,5,2,7,8,9,15,13,26,44,43,52,43,27,26,23,19,22,15,13,9,10,11,5,3,10,10,20,26,34,24,23,17,10,8,,,,,,,,,,,,,,,,,,,,,,,
163,捷運麟光站2號出口,大安區,121.559279,25.018097,47,39,27,18,40,37,41,39,39,43,51,61,36,37,46,58,68,48,53,35,35,42,36,35,39,38,45,44,48,22,25,35,36,42,52,53,59,52,41,35,30,26,31,26,29,18,21,17,23,38,17,29,41,47,59,56,50,47,44,40,,,,,,,,,,,,,,,,,,,,,,,
164,捷運奇岩站,北投區,121.500801,25.126286,18,20,19,31,23,30,35,38,40,40,39,33,29,16,46,4,9,9,18,30,31,26,15,34,28,33,41,37,38,19,5,25,18,12,8,3,19,28,16,30,31,37,35,42,37,41,43,40,32,38,26,28,9,11,11,17,19,26,39,28,,,,,,,,,,,,,,,,,,,,,,,
165,捷運唭哩岸站(2號出口),北投區,121.505693,25.120788,8,22,14,15,20,15,19,20,21,17,15,21,2,6,3,11,16,17,5,12,13,11,8,5,0,2,3,10,6,1,1,0,2,5,4,5,1,5,11,14,10,18,18,15,17,20,21,20,17,10,7,4,9,2,5,4,0,7,6,9,,,,,,,,,,,,,,,,,,,,,,,
166,臺北市立景美女中,文山區,121.556177,24.980602,12,15,13,16,15,14,15,18,20,6,3,14,18,1,7,4,5,7,16,21,21,20,18,18,14,16,16,18,7,18,24,34,2,1,4,6,11,14,14,18,19,23,22,24,27,15,15,15,7,7,10,10,16,17,10,10,12,13,14,15,,,,,,,,,,,,,,,,,,,,,,,
167,臺北市立天文館,士林區,121.518046,25.095714,4,19,31,41,20,33,30,34,25,19,11,5,15,12,14,18,17,16,11,41,38,28,30,30,33,29,35,35,26,32,30,29,28,29,30,30,19,24,40,31,33,33,37,47,39,39,34,32,32,28,30,29,30,30,32,38,18,30,30,34,,,,,,,,,,,,,,,,,,,,,,,
168,河堤國小,中正區,121.522855,25.02288,29,16,3,0,9,6,4,2,6,8,9,16,18,12,8,23,26,28,30,3,1,14,14,9,7,2,1,5,9,26,16,29,19,26,35,36,37,32,15,11,9,5,0,10,12,11,11,9,11,16,14,17,25,25,32,29,34,23,20,12,,,,,,,,,,,,,,,,,,,,,,,
169,植物園,中正區,121.509813,25.030015,8,15,30,26,25,17,7,16,27,27,21,7,9,16,19,25,22,12,20,43,43,41,31,28,25,39,41,36,26,5,2,0,8,16,19,25,14,24,43,42,39,35,38,30,30,26,21,17,17,9,12,18,24,30,31,28,26,21,22,20,,,,,,,,,,,,,,,,,,,,,,,
170,新東公園,松山區,121.568883,25.059245,41,44,40,38,34,19,16,9,7,5,4,5,11,14,11,23,34,38,35,31,32,32,28,31,30,28,27,26,27,37,37,40,35,24,38,25,26,28,20,13,10,7,7,3,3,2,6,5,5,3,3,12,9,13,14,18,15,12,12,6,,,,,,,,,,,,,,,,,,,,,,,
171,文山運動中心,文山區,121.559651,24.996842,12,13,16,17,21,16,15,10,11,11,5,7,9,9,3,3,4,4,15,26,26,25,23,23,24,22,21,17,11,9,8,6,1,1,16,16,21,23,28,24,22,23,22,24,24,26,26,28,28,21,20,19,23,22,25,31,25,23,22,22,,,,,,,,,,,,,,,,,,,,,,,
172,捷運南京三民站(1號出口),松山區,121.562891,25.051562,20,7,3,7,10,13,16,23,10,9,1,0,0,1,4,1,1,4,18,13,10,7,0,9,11,15,4,0,0,3,0,9,1,0,17,8,13,11,17,13,2,8,16,20,18,10,7,4,1,18,6,10,2,1,21,10,13,12,11,16,,,,,,,,,,,,,,,,,,,,,,,
173,捷運松江南京站(7號出口),中山區,121.533211,25.052181,41,38,2,5,11,15,32,29,22,40,29,26,14,11,16,4,9,16,39,6,5,20,16,8,26,21,28,28,4,11,4,6,15,4,3,30,35,36,13,5,17,36,39,41,28,28,55,49,47,26,30,16,5,13,44,46,42,36,34,42,,,,,,,,,,,,,,,,,,,,,,,
174,捷運小巨蛋站(5號出口),松山區,121.553057,25.051702,35,11,13,7,22,21,27,29,7,7,8,23,18,3,3,5,1,1,34,2,2,14,10,16,25,14,8,13,31,23,17,4,9,2,4,1,21,25,3,1,19,22,24,28,31,30,38,36,28,17,20,24,4,15,21,25,18,36,39,31,,,,,,,,,,,,,,,,,,,,,,,
175,捷運南京復興站(5號出口),松山區,121.544847,25.051618,22,21,8,1,16,9,27,33,25,43,50,50,29,16,6,2,4,3,12,1,0,9,3,31,8,16,32,34,28,26,6,10,5,0,0,13,33,43,22,16,13,39,24,32,33,36,30,26,20,24,4,0,13,1,16,18,26,28,32,20,,,,,,,,,,,,,,,,,,,,,,,
176,興安華城,中山區,121.542318,25.055997,39,16,6,4,1,5,5,0,3,3,10,21,18,21,25,39,46,50,42,7,6,2,1,5,5,3,4,14,19,24,27,41,54,70,74,80,71,50,46,38,25,23,24,22,25,23,24,27,19,26,29,45,54,64,70,73,74,70,63,56,,,,,,,,,,,,,,,,,,,,,,,
177,葫蘆國小,士林區,121.507495,25.082538,21,22,19,18,16,16,19,21,23,22,20,25,25,31,24,15,19,23,12,5,4,26,25,24,25,27,25,26,27,15,11,21,9,14,15,15,24,21,10,16,15,16,20,22,20,19,19,21,22,28,4,8,13,15,17,19,20,20,20,25,,,,,,,,,,,,,,,,,,,,,,,
178,延平國宅,士林區,121.510306,25.078908,16,10,8,6,4,2,3,3,4,4,8,8,5,12,15,4,9,10,7,1,0,14,13,12,16,16,13,11,7,1,6,12,2,10,15,17,13,21,9,9,9,7,6,6,7,8,6,7,6,9,8,4,9,13,13,10,9,14,15,14,,,,,,,,,,,,,,,,,,,,,,,
179,南港公園,南港區,121.59073,25.041355,17,7,8,3,1,4,5,3,3,1,5,4,13,16,19,7,19,23,37,14,13,23,18,18,21,18,17,17,20,16,16,21,9,20,26,34,29,26,16,12,14,12,14,7,5,9,9,11,10,13,16,10,20,25,35,34,27,35,28,25,,,,,,,,,,,,,,,,,,,,,,,
180,福華商場,內湖區,121.592654,25.06877,7,10,8,7,8,6,6,5,6,7,5,5,0,4,6,4,3,4,4,8,6,5,6,5,7,8,9,8,6,8,7,8,11,10,11,13,5,7,9,9,8,8,6,5,6,7,8,7,5,5,5,6,6,5,13,15,17,16,15,16,,,,,,,,,,,,,,,,,,,,,,,
181,建國和平路口,大安區,121.537383,25.02585,4,16,23,27,16,10,2,28,30,27,21,1,29,19,16,2,0,1,15,37,36,49,36,38,39,47,22,24,7,24,16,17,21,0,9,10,9,18,30,41,12,5,10,14,21,14,1,4,5,20,15,3,1,12,31,38,42,36,10,32,,,,,,,,,,,,,,,,,,,,,,,
182,捷運古亭站(2號出口),中正區,121.523537,25.0253,19,46,24,19,25,24,13,15,15,6,9,1,0,1,5,3,0,0,5,27,30,42,35,30,24,31,26,40,27,4,11,3,0,3,0,3,7,21,36,25,29,29,32,28,25,21,20,22,15,0,3,1,1,6,15,17,22,26,33,38,,,,,,,,,,,,,,,,,,,,,,,
183,圓環站,大同區,121.514179,25.05379,29,20,14,12,5,7,9,6,11,9,7,4,8,0,13,11,15,9,21,16,18,7,6,4,4,3,1,0,1,3,16,3,5,12,16,13,16,17,11,17,16,12,8,16,16,13,8,11,5,6,1,7,13,6,22,20,17,18,10,10,,,,,,,,,,,,,,,,,,,,,,,
184,劍潭社區,中山區,121.537892,25.084759,28,27,23,21,20,21,22,20,19,17,19,18,18,15,16,20,24,27,25,17,17,16,12,13,15,14,12,13,11,10,11,13,17,22,26,24,27,25,21,22,18,18,19,18,18,19,18,19,17,20,22,26,28,29,20,18,30,27,27,24,,,,,,,,,,,,,,,,,,,,,,,
185,?公公園,大安區,121.54605,25.042342,16,8,7,2,4,7,5,8,5,7,6,9,22,18,16,12,14,9,13,1,1,2,0,6,10,14,12,11,9,16,24,24,12,6,0,6,22,13,5,2,5,6,11,14,19,9,9,14,18,17,17,4,10,17,1,4,0,3,4,10,,,,,,,,,,,,,,,,,,,,,,,
186,臺北市立大學,中正區,121.514218,25.035414,30,42,53,56,57,54,40,30,29,43,38,45,33,32,26,11,22,22,23,40,41,40,47,50,23,25,40,38,26,2,3,5,2,2,4,5,18,23,48,53,53,57,29,28,40,43,44,38,45,44,37,29,32,30,37,38,38,43,33,32,,,,,,,,,,,,,,,,,,,,,,,
187,仁愛延吉街口,大安區,121.555769,25.037465,10,21,20,25,14,14,17,12,5,6,11,10,7,6,4,7,1,6,0,21,16,21,16,12,23,18,12,12,11,12,8,0,1,14,24,22,7,7,20,19,25,15,14,9,11,10,8,12,13,21,22,22,24,25,14,15,14,7,15,15,,,,,,,,,,,,,,,,,,,,,,,
188,社子國小,士林區,121.50189,25.090293,35,30,34,32,31,30,32,33,33,24,21,16,18,15,26,32,37,42,42,43,43,43,42,44,44,50,48,48,48,28,30,35,30,22,24,24,29,27,26,24,30,32,31,30,33,33,32,30,30,25,31,37,37,38,39,40,39,39,37,41,,,,,,,,,,,,,,,,,,,,,,,
189,金瑞公園(金龍路),內湖區,121.58781,25.087987,22,18,12,12,6,4,4,8,4,7,5,12,23,21,3,20,30,23,30,4,3,21,15,13,14,10,7,8,9,30,19,20,5,11,28,20,22,28,16,14,15,14,17,12,15,16,19,8,17,22,22,26,26,18,26,19,28,19,19,10,,,,,,,,,,,,,,,,,,,,,,,
190,捷運大直站(3號出口),中山區,121.546683,25.079278,5,12,4,1,1,1,3,5,4,0,1,10,12,16,22,4,0,0,11,17,16,8,10,18,13,15,14,14,1,13,10,4,2,1,5,6,17,19,7,3,1,1,0,14,16,17,17,19,24,23,19,15,18,13,10,12,9,6,10,14,,,,,,,,,,,,,,,,,,,,,,,
191,捷運大湖公園站(2號出口),內湖區,121.60206,25.083873,13,13,11,10,10,11,9,10,6,5,6,8,7,9,9,9,7,5,5,1,1,0,13,17,13,11,14,14,15,13,11,4,7,5,6,5,7,7,6,9,10,9,9,11,12,12,8,9,9,9,8,5,6,7,10,10,9,24,26,25,,,,,,,,,,,,,,,,,,,,,,,
192,捷運葫洲站(1號出口),內湖區,121.607955,25.072485,11,7,8,10,13,13,11,11,10,15,15,10,4,4,3,2,7,7,5,2,3,7,9,7,11,7,1,0,1,1,0,2,1,4,1,7,11,12,11,13,15,15,16,14,16,19,18,11,7,10,8,8,2,13,9,12,9,11,10,12,,,,,,,,,,,,,,,,,,,,,,,
193,舊莊區民活動中心,南港區,121.61935,25.041277,17,9,8,12,13,10,9,3,8,7,7,9,9,11,1,8,15,17,15,7,4,4,1,4,6,5,5,8,7,6,19,14,18,13,18,23,18,12,15,13,10,11,11,11,11,11,10,11,14,14,14,18,24,17,23,21,22,20,23,21,,,,,,,,,,,,,,,,,,,,,,,
194,市民林森路口,中山區,121.524388,25.047958,36,39,39,42,34,30,32,39,39,41,38,22,24,33,38,20,23,23,22,24,27,37,35,27,27,33,37,34,30,8,13,17,16,13,9,8,25,26,28,32,31,30,32,31,32,31,26,27,26,15,18,21,23,29,27,29,21,23,22,20,,,,,,,,,,,,,,,,,,,,,,,
195,信義杭州路口(中華電信總公司),中正區,121.523987,25.035851,14,15,35,31,25,15,15,25,29,31,32,8,2,7,2,2,3,1,5,35,41,32,31,22,13,28,25,37,27,4,5,6,7,6,2,6,10,26,44,31,25,20,14,33,31,30,18,9,12,11,7,25,31,36,31,27,25,20,39,36,,,,,,,,,,,,,,,,,,,,,,,
196,新湖國小,內湖區,121.589233,25.068744,10,11,9,7,7,5,3,1,3,3,3,1,0,0,7,11,14,15,8,7,6,7,5,4,4,3,2,1,3,1,3,3,2,4,12,14,14,13,9,8,5,6,4,0,7,7,5,2,5,2,6,4,9,11,9,5,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,
197,饒河夜市(八德路側),松山區,121.571885,25.049845,23,17,16,14,12,15,15,16,16,15,19,24,24,30,23,20,19,21,24,20,20,18,19,22,20,21,20,22,10,6,11,14,11,12,9,7,6,5,7,6,5,5,9,10,9,10,10,11,11,3,11,11,17,25,22,21,17,19,14,12,,,,,,,,,,,,,,,,,,,,,,,
201,東陽公園,南港區,121.597924,25.057164,12,15,21,24,20,19,20,16,14,22,19,22,15,8,9,20,25,31,34,42,43,25,24,11,10,16,21,19,21,13,15,12,19,28,37,29,10,8,21,15,15,12,9,15,14,16,14,18,10,1,1,14,17,21,26,26,25,23,23,23,,,,,,,,,,,,,,,,,,,,,,,
202,捷運關渡站,北投區,121.467336,25.124646,29,27,31,20,15,8,5,2,1,16,18,11,8,14,5,14,11,9,24,42,40,23,21,26,21,19,15,19,13,4,3,0,3,5,0,12,23,36,39,28,28,28,23,21,22,22,28,39,35,29,23,12,12,17,36,26,22,22,17,21,,,,,,,,,,,,,,,,,,,,,,,
203,古亭國中,萬華區,121.51057,25.024487,19,18,10,9,7,2,11,12,11,11,3,3,20,8,9,12,22,25,31,15,14,19,12,14,13,12,10,9,17,10,16,20,15,15,27,32,26,29,20,13,15,17,15,14,9,10,8,7,14,20,10,14,17,19,22,24,17,13,12,10,,,,,,,,,,,,,,,,,,,,,,,
204,臺北市立大學(天母校區),士林區,121.53742,25.113625,27,25,20,22,16,20,13,15,17,12,6,2,3,6,16,26,34,22,30,19,19,17,13,13,3,12,16,12,6,9,12,2,7,8,20,24,24,15,8,6,17,15,16,20,21,22,15,15,16,20,15,22,22,26,18,16,13,9,15,15,,,,,,,,,,,,,,,,,,,,,,,
205,木柵光輝路口,文山區,121.55561,24.988241,11,9,8,13,10,9,11,12,12,14,14,13,10,14,9,9,19,13,7,2,2,8,10,11,11,8,10,10,10,12,15,13,17,7,9,10,6,6,4,4,6,4,6,5,5,3,3,2,2,4,9,11,16,17,20,18,18,15,16,16,,,,,,,,,,,,,,,,,,,,,,,
206,捷運辛亥站,文山區,121.55716,25.005386,3,7,11,13,17,16,19,21,14,15,9,10,18,16,22,22,23,15,17,24,23,23,25,25,22,20,20,17,15,16,21,15,12,10,10,7,7,10,19,20,23,20,19,15,15,17,17,16,15,9,10,10,9,9,16,17,16,16,15,15,,,,,,,,,,,,,,,,,,,,,,,
207,福安國中,士林區,121.487477,25.103242,5,6,7,7,7,7,6,6,1,1,4,3,3,3,3,3,3,4,4,7,7,7,7,5,5,4,4,5,5,1,2,4,1,4,4,10,10,10,11,11,11,11,9,9,9,9,10,10,10,7,5,3,5,7,7,6,6,7,7,10,,,,,,,,,,,,,,,,,,,,,,,
208,龍山國小,萬華區,121.495342,25.035555,21,16,12,13,10,11,9,7,8,7,3,6,17,22,25,25,30,31,34,22,24,22,25,21,22,19,21,21,19,26,25,28,42,28,32,32,32,26,17,15,13,14,17,12,14,15,18,19,22,23,35,23,26,24,33,27,23,20,20,20,,,,,,,,,,,,,,,,,,,,,,,
209,捷運復興崗站,北投區,121.486071,25.137837,10,7,12,17,17,20,18,16,15,17,22,25,19,14,9,16,12,9,8,7,7,15,16,11,10,11,13,12,19,18,15,15,12,11,3,1,2,1,20,24,22,22,17,19,20,21,23,22,17,18,16,16,13,6,15,14,17,15,13,18,,,,,,,,,,,,,,,,,,,,,,,
210,樂群二敬業四路口,中山區,121.558135,25.079766,33,27,21,39,43,34,28,13,13,18,23,30,27,18,38,29,35,40,30,6,8,20,22,17,5,2,1,4,9,9,8,16,18,29,37,38,23,28,8,12,12,4,0,1,3,1,5,7,16,21,30,24,28,34,48,42,30,28,23,21,,,,,,,,,,,,,,,,,,,,,,,
211,星雲金湖街口,內湖區,121.597339,25.080915,19,11,6,5,5,2,1,1,15,15,11,8,8,5,5,11,9,9,11,0,0,13,13,10,13,13,13,12,11,10,10,10,7,7,11,9,23,18,10,9,16,14,14,13,12,12,11,10,6,5,6,8,12,11,11,10,8,6,20,20,,,,,,,,,,,,,,,,,,,,,,,
212,北安大直街口,中山區,121.549452,25.084223,24,20,24,23,21,23,21,22,22,21,23,28,21,21,14,17,17,21,18,16,16,14,15,16,17,15,16,15,15,15,14,21,17,16,11,13,9,6,8,8,10,12,21,24,24,25,24,24,24,27,26,21,23,23,18,18,19,23,25,18,,,,,,,,,,,,,,,,,,,,,,,
213,蘭雅國小,士林區,121.523107,25.107782,11,12,1,4,5,0,5,7,9,7,6,8,0,2,3,2,3,3,6,2,1,5,6,0,7,6,10,7,4,1,0,1,1,2,1,8,1,2,2,1,0,2,2,7,8,6,6,8,6,2,3,1,1,14,5,4,11,13,16,18,,,,,,,,,,,,,,,,,,,,,,,
214,基河一期國宅,內湖區,121.578645,25.055935,11,8,13,12,10,11,10,10,5,5,9,6,3,0,1,7,13,12,11,13,13,15,14,14,13,8,7,11,14,4,2,0,2,6,10,11,6,1,9,6,5,6,7,9,7,7,7,7,6,7,8,10,8,8,23,23,20,20,20,19,,,,,,,,,,,,,,,,,,,,,,,
215,捷運北門站(3號出口),大同區,121.510367,25.04993,45,39,27,28,31,35,27,39,38,35,33,5,6,5,1,13,22,24,30,17,14,23,34,27,17,26,21,22,24,6,1,3,9,5,0,7,40,42,26,25,34,30,32,39,40,28,45,49,45,34,20,17,8,15,15,13,27,32,32,28,,,,,,,,,,,,,,,,,,,,,,,
216,培英公園,中山區,121.544601,25.082553,27,40,44,43,30,27,24,26,40,39,39,26,20,19,21,28,31,33,35,31,31,27,28,26,27,30,26,26,23,0,1,14,11,19,21,23,28,31,34,34,33,32,31,29,30,29,23,21,21,21,17,12,14,16,21,36,39,41,30,28,,,,,,,,,,,,,,,,,,,,,,,
217,臺北花市,內湖區,121.574267,25.062645,16,21,29,38,24,22,23,24,24,23,28,26,23,21,13,6,0,0,6,24,26,15,22,24,22,24,25,25,28,7,21,12,9,3,1,4,7,13,25,12,13,18,18,20,19,19,21,17,7,23,21,12,2,8,10,13,17,4,10,16,,,,,,,,,,,,,,,,,,,,,,,
218,松山高中,信義區,121.564108,25.043299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
219,大理高中,萬華區,121.49074,25.031147,13,35,30,29,30,18,16,12,10,7,16,3,12,11,16,23,19,10,10,38,35,37,17,13,21,25,25,21,15,18,21,31,17,16,10,16,9,33,20,22,18,11,2,0,12,18,14,16,13,15,22,22,19,26,26,36,29,25,25,24,,,,,,,,,,,,,,,,,,,,,,,
220,大稻埕公園,大同區,121.510512,25.059162,27,8,20,17,19,9,9,5,2,5,1,5,1,5,0,11,21,24,14,10,11,14,4,4,10,10,6,7,7,8,2,10,6,8,21,20,15,8,18,22,16,2,4,4,5,8,9,9,10,5,4,10,11,16,2,4,7,1,2,1,,,,,,,,,,,,,,,,,,,,,,,
221,泰和公園,信義區,121.57107,25.019276,25,17,12,13,6,10,6,6,2,1,6,15,20,8,15,39,32,38,29,17,15,7,13,11,3,14,9,6,11,15,16,28,3,26,15,25,15,30,20,18,11,6,15,13,14,12,15,16,19,4,12,26,19,24,20,12,27,13,25,12,,,,,,,,,,,,,,,,,,,,,,,
222,撫順公園,中山區,121.522065,25.064108,7,13,12,13,21,24,11,9,13,16,4,0,1,8,6,11,15,20,9,22,22,11,16,17,2,14,19,17,18,4,4,3,13,19,10,13,7,5,11,14,13,12,10,12,19,20,15,12,16,16,16,13,12,17,9,11,13,11,12,8,,,,,,,,,,,,,,,,,,,,,,,
223,清江國小,北投區,121.507267,25.1274,16,1,29,27,24,13,6,4,5,0,2,1,4,18,2,36,23,31,16,20,22,23,22,12,0,2,0,3,5,17,30,10,26,30,25,25,11,0,21,16,5,3,2,1,0,1,0,1,12,11,4,13,31,24,25,30,28,25,19,13,,,,,,,,,,,,,,,,,,,,,,,
224,社正公園,士林區,121.510535,25.088243,28,24,22,20,20,10,13,13,14,15,17,12,14,5,9,22,25,28,28,21,21,23,19,20,19,18,21,7,11,16,14,4,9,16,20,23,22,20,13,11,12,14,14,15,15,14,14,20,20,7,15,20,26,26,32,18,16,15,15,16,,,,,,,,,,,,,,,,,,,,,,,
225,臥龍樂業街口,大安區,121.554839,25.0186,19,24,14,14,9,21,21,19,7,8,11,20,20,36,5,12,21,21,22,5,15,21,18,18,16,16,15,17,18,24,28,10,18,20,23,29,24,13,35,28,26,24,22,21,19,18,20,22,12,12,20,15,24,20,30,23,21,29,22,32,,,,,,,,,,,,,,,,,,,,,,,
226,向陽南港路口,南港區,121.594228,25.054365,4,16,24,10,11,10,8,21,21,20,14,24,10,1,6,6,7,7,10,28,29,20,21,20,19,21,21,24,23,15,11,5,7,17,21,20,3,11,23,18,20,20,17,13,16,16,16,15,12,21,13,12,16,15,13,17,20,19,18,17,,,,,,,,,,,,,,,,,,,,,,,
227,麗山高中,內湖區,121.57668,25.084244,29,34,27,17,18,17,15,19,20,14,9,9,17,10,4,9,13,14,14,9,9,2,1,1,0,3,3,4,0,4,6,10,13,16,19,23,16,19,15,6,5,5,5,8,10,8,7,5,5,12,14,15,21,23,21,21,23,23,20,16,,,,,,,,,,,,,,,,,,,,,,,
228,捷運萬芳社區站,文山區,121.567474,24.998956,21,21,19,15,16,16,17,17,17,15,17,14,9,1,14,14,14,13,8,5,5,13,11,9,10,9,9,9,10,2,4,1,3,8,12,8,7,6,4,2,15,15,15,13,11,11,11,11,9,2,4,19,18,18,11,10,11,9,11,11,,,,,,,,,,,,,,,,,,,,,,,
229,市民太原路口,大同區,121.514611,25.049394,12,17,3,2,3,9,9,11,10,9,6,4,0,0,4,8,6,9,17,13,13,8,9,14,21,9,11,6,12,9,1,3,0,4,1,11,13,14,8,9,6,11,9,10,13,9,7,12,12,0,3,7,2,5,7,6,3,4,13,1,,,,,,,,,,,,,,,,,,,,,,,
230,湖光國宅,內湖區,121.580811,25.075366,24,15,11,5,5,3,4,6,7,7,14,14,17,19,7,15,20,25,24,15,15,7,2,2,4,3,4,5,4,19,22,19,12,19,24,26,26,17,14,6,5,2,3,4,4,5,5,8,12,18,16,23,33,22,21,16,11,12,7,11,,,,,,,,,,,,,,,,,,,,,,,
231,內政部營建署,松山區,121.545022,25.047805,14,24,17,35,28,24,23,28,30,15,18,9,21,30,16,11,1,10,12,13,14,32,13,6,4,16,20,19,19,18,15,24,20,9,8,13,8,18,9,21,14,12,6,10,14,17,14,14,15,23,20,15,10,12,15,15,22,20,24,20,,,,,,,,,,,,,,,,,,,,,,,
