sno,sna,sarea,lng,lat,307,308,309,310,311,312,313,314,315,316,317,318
382,聯合醫院和平院區,中正區,121.50639,25.03516,0.07,0.33,0.19,0.36,0.31,0.29,0.33,0.19,0.24,0.21,0.14,0.07
383,一壽橋,文山區,121.55545,24.97848,0.42,0.38,0.35,0.27,0.38,0.31,0.35,0.38,0.31,0.35,0.31,0.23
384,松基公園,松山區,121.5448,25.05491,0.33,0.6,0.87,0.97,0.93,0.67,0.63,0.77,0.67,0.73,0.63,0.77
385,和興路26巷口,文山區,121.54531,24.9856,0.62,0.6,0.62,0.68,0.59,0.56,0.49,0.51,0.51,0.51,0.51,0.18
386,錦州吉林路口,中山區,121.52981,25.06029,0.67,0.63,0.47,0.23,0.23,0.07,0.1,0.13,0.1,0.07,0,0.23
387,吳興街260巷,信義區,121.56316,25.0261,0.34,0.34,0.38,0.06,0.12,0.19,0.25,0.31,0.34,0.19,0.06,0.16
388,景華街128巷口,文山區,121.547092,24.995563,0.12,0.88,0.46,0.04,0.58,0.46,0.38,0.54,0.54,0.58,0.75,0.38
389,福德國小,信義區,121.586245,25.038324,0.67,0.1,0.5,0.27,0.4,0.33,0.27,0.1,0.27,0.13,0.07,0.17
390,稻香重三路口,北投區,121.489594,25.139937,0.68,0.44,0.29,0.18,0.12,0.06,0.03,0.03,0,0.06,0,0.06
391,景仁公園,文山區,121.540295,24.9966,0.38,0.28,0.24,0.28,0.1,0.34,0.34,0.31,0.21,0.24,0.17,0.03
392,南京東興路口,松山區,121.565347,25.051489,0.33,0.03,0.23,0,0.33,0.33,0.43,0.87,0.8,0.77,0.43,0.27
393,內溝溪生態展示館,內湖區,121.623062,25.087217,0.54,0.54,0.54,0.54,0.58,0.54,0.58,0.62,0.62,0.67,0.67,0.67
394,松德虎林街口,信義區,121.576248,25.038352,0.5,0.47,0.44,0.22,0.06,0.47,0.62,0.69,0.69,0.78,0.53,0.59
395,安強公園,信義區,121.575413,25.036844,0.61,0.18,0.56,0.12,0.56,0.41,0.41,0.56,0.78,0.11,0.14,0.11
396,新東街51巷口,松山區,121.563318,25.061501,0.48,0.48,0.48,0.48,0.33,0.37,0.3,0.41,0.44,0.33,0.41,0.44
397,劍潭海外青年活動中心,士林區,121.5237,25.079603,0.47,0.39,0.36,0.42,0.39,0.42,0.36,0.25,0.22,0.19,0.11,0.11
398,聯合醫院陽明院區,士林區,121.531949,25.104546,0.6,0.6,0.7,0.8,0.72,0.66,0.52,0.59,0.55,0.52,0.45,0.17
399,和平龍泉街口,大安區,121.52946,25.026404,0,0,0,0,0,0,0,0,0,0,0,0
400,和平敦化路口,大安區,121.549076,25.02444,0.06,0.06,0.15,0.03,0,0,0.41,0.35,0.44,0.56,0.41,0.09
401,南京新生路口,中山區,121.527661,25.051944,0.74,0.5,0.44,0.44,0.44,0.29,0.12,0.06,0.26,0.5,0.62,0.56
402,下灣公園,內湖區,121.595611,25.065159,0.39,0.39,0.32,0.32,0.36,0.36,0.36,0.32,0.36,0.36,0.36,0.32
403,捷運內湖站(1號出口),內湖區,121.593929,25.083868,0.29,0.21,0.54,0.46,0.67,0.7,0.78,0.7,0.63,0.52,0.63,0.56
404,民族延平路口,大同區,121.510569,25.068653,0.7,0.7,0.37,0.3,0.2,0.2,0.17,0.07,0.07,0.13,0.1,0.17
