sno,sna,sarea,lng,lat,307,308,309,310,311,312,313,314,315,316,317,318
88,捷運象山站,信義區,121.57087,25.032922,34,9,17,15,38,26,34,42,52,33,35,40
89,和平重慶路口,中正區,121.516385,25.027323,25,16,2,1,4,7,4,5,10,20,18,16
90,老松國小,萬華區,121.501708,25.037783,27,23,13,5,13,17,20,24,20,10,1,12
91,市立美術館,中山區,121.523268,25.070629,25,18,21,20,26,22,24,28,27,27,26,10
92,開封西寧路口,萬華區,121.507169,25.046618,13,1,2,1,4,0,6,2,1,4,11,9
93,吳興公車總站,信義區,121.569836,25.023877,26,3,32,17,35,34,21,16,18,16,31,32
94,捷運景美站,文山區,121.541059,24.993254,19,7,17,21,23,16,13,13,13,9,19,30
95,東園國小,萬華區,121.497679,25.023393,19,27,21,15,13,12,15,12,12,15,9,10
96,三民公園,松山區,121.566558,25.061567,19,13,6,4,3,16,17,21,21,23,9,9
97,捷運劍潭站(2號出口),士林區,121.524721,25.082825,22,28,6,1,17,23,23,22,17,7,15,46
98,羅斯福景隆街口,文山區,121.540197,24.999378,28,26,24,23,24,24,21,22,26,26,28,25
99,捷運雙連站(2號出口),大同區,121.520711,25.057866,15,32,30,29,24,18,28,31,18,15,27,5
100,金山市民路口,中正區,121.530697,25.045753,10,8,6,1,1,5,7,4,8,19,16,23
101,華山文創園區,中正區,121.528487,25.043668,18,15,18,24,22,21,17,23,24,35,41,25
102,臺北市客家文化主題公園,中正區,121.525322,25.02043,10,6,4,5,4,3,1,1,2,3,1,0
103,萬華車站,萬華區,121.503028,25.033639,17,6,1,1,12,12,16,16,15,12,15,24
104,台北花木批發市場,文山區,121.54074,25.004023,21,18,23,21,21,12,9,7,8,9,12,19
105,峨嵋停車場,萬華區,121.505409,25.044412,9,10,17,7,12,18,23,23,24,31,31,29
106,西園艋舺路口,萬華區,121.497674,25.032932,17,7,2,0,3,6,9,8,7,7,12,9
107,捷運小南門站(1號出口),中正區,121.509422,25.036402,17,29,46,45,32,32,24,21,15,38,34,28
108,臺北孔廟,大同區,121.515843,25.073306,20,19,15,18,11,2,3,3,2,4,9,16
109,林安泰古厝,中山區,121.530805,25.071606,11,15,18,15,15,14,14,16,17,15,11,9
110,文湖國小,內湖區,121.560888,25.086376,35,15,9,23,21,11,5,2,5,11,16,16
111,捷運忠孝復興站(2號出口),大安區,121.543497,25.040184,31,0,5,3,1,5,12,10,2,4,7,6
112,捷運新北投站,北投區,121.503124,25.137456,32,29,25,21,25,38,35,32,27,18,1,3
113,仁愛逸仙路口,信義區,121.561178,25.037724,18,33,24,25,21,21,18,22,19,23,17,18
114,蘭雅公園,士林區,121.530386,25.109908,15,16,24,11,7,7,6,7,15,20,12,17
115,臺北轉運站,中正區,121.520526,25.048222,44,19,8,8,6,13,17,14,11,8,22,28
116,福林公園,士林區,121.530215,25.096122,6,5,1,1,1,2,5,9,5,7,12,16
117,捷運北投站,北投區,121.498618,25.132581,40,29,35,19,19,28,34,31,35,37,32,41
118,大業大同街口,北投區,121.499152,25.136929,15,0,5,8,5,1,2,3,0,0,2,4
119,捷運劍南路站(2號出口),中山區,121.555116,25.08418,23,39,33,5,16,21,26,43,21,20,29,24
120,捷運龍山寺站(1號出口),萬華區,121.50026,25.035479,25,7,9,13,20,11,12,12,7,12,19,25
121,龍江南京路口,中山區,121.540568,25.05298,11,12,21,15,17,18,18,12,8,11,13,10
122,捷運港墘站(2號出口),內湖區,121.57584,25.079666,24,20,1,1,4,3,6,2,3,0,11,22
123,天母運動公園,士林區,121.534136,25.116325,9,25,31,21,23,23,23,26,24,24,31,15
124,振華公園,北投區,121.518163,25.115863,16,7,1,2,4,4,8,8,4,7,11,3
125,華西公園,萬華區,121.498495,25.038609,26,20,10,13,1,3,5,4,4,3,9,14
126,敦化基隆路口,大安區,121.548336,25.022073,7,22,12,27,20,14,5,15,19,18,8,21
127,東湖國中,內湖區,121.619521,25.073277,10,16,20,15,16,9,2,6,2,3,0,2
128,成功國宅,大安區,121.546726,25.026808,17,18,21,22,18,22,20,15,0,0,7,6
129,捷運文德站(2號出口),內湖區,121.58456,25.078424,23,19,13,6,4,7,9,4,8,2,1,8
130,羅斯福寧波東街口,中正區,121.519411,25.031445,10,15,17,22,13,4,0,2,2,3,6,1
131,洲子二號公園,內湖區,121.568688,25.079322,10,15,27,10,8,3,8,12,13,11,7,21
132,羅斯福新生南路口,大安區,121.5331757,25.01603085,79,33,1,3,1,11,17,2,15,14,44,75
133,蘭興公園,士林區,121.525888,25.111839,21,13,15,10,9,7,4,4,9,12,22,8
134,捷運芝山站(2號出口),士林區,121.522629,25.10336,24,30,23,22,41,61,43,31,20,49,50,50
135,捷運石牌站(2號出口),北投區,121.515677,25.114513,14,20,25,27,25,18,22,27,18,24,29,42
136,國立臺北護理健康大學,北投區,121.517512,25.118049,18,18,12,11,16,19,11,14,17,22,19,7
137,國防大學,北投區,121.493066,25.137976,19,17,16,14,12,15,15,18,17,19,13,0
138,捷運永春站(2號出口),信義區,121.575372,25.040558,10,14,2,15,8,7,17,20,9,14,1,10
139,永樂市場,大同區,121.510549,25.054501,18,14,30,12,22,19,23,21,20,17,3,20
140,捷運大橋頭站(2號出口),大同區,121.512909,25.063404,27,36,23,18,39,28,23,23,35,36,28,37
141,文山行政中心,文山區,121.569984,24.989902,9,10,15,14,14,16,13,15,17,20,17,14
142,捷運木柵站,文山區,121.574214,24.997747,15,21,21,21,20,22,3,17,17,17,18,17
143,捷運動物園站(2號出口),文山區,121.578752,24.997659,26,27,26,24,20,19,18,16,17,26,30,24
144,國立政治大學,文山區,121.576536,24.988363,21,26,28,32,33,32,31,28,33,24,22,26
145,樹德公園,大同區,121.516149,25.066688,28,30,32,25,19,19,12,11,4,1,1,2
146,捷運士林站(2號出口),士林區,121.526556,25.092546,34,30,6,14,16,8,11,13,11,13,18,28
147,士林運動中心,士林區,121.521814,25.089175,19,5,13,16,20,13,12,8,9,17,28,17
148,捷運明德站,北投區,121.518316,25.110331,31,27,14,8,3,19,20,12,14,13,7,3
149,北投運動中心,北投區,121.509621,25.116665,45,11,3,20,15,19,18,11,14,7,1,8
150,松德公園,信義區,121.57343,25.036568,10,11,27,35,16,33,13,14,21,17,15,31
151,考試院,文山區,121.549827,24.987507,7,9,13,14,15,13,13,10,16,14,9,6
152,百齡國小,士林區,121.519175,25.08521,31,25,5,34,32,20,15,20,26,34,13,29
153,蔣渭水紀念公園,大同區,121.516299,25.059885,19,15,20,19,18,18,22,11,6,7,5,4
154,中正基河路口,士林區,121.519867,25.093396,16,26,29,17,16,16,14,16,16,10,3,12
155,瑞光港墘路口,內湖區,121.57505,25.076193,9,15,4,3,11,23,15,10,7,12,3,4
156,東湖國小,內湖區,121.61538,25.06853,5,5,3,7,8,13,11,10,14,6,1,7
157,麗山國小,內湖區,121.571467,25.082703,24,18,9,7,10,8,9,10,6,9,7,9
158,捷運東湖站,內湖區,121.61355,25.067026,10,15,19,21,24,23,26,22,20,17,12,7
159,捷運西湖站(1號出口),內湖區,121.566695,25.082866,17,26,12,1,2,2,1,0,1,1,2,8
161,大豐公園,北投區,121.503768,25.131143,32,27,26,26,23,21,22,22,25,24,24,13
162,捷運中山國小站(4號出口),中山區,121.52772,25.062924,48,41,30,20,18,18,19,11,13,8,7,3
163,捷運麟光站2號出口,大安區,121.559279,25.018097,47,39,27,18,40,37,41,39,39,43,51,61
164,捷運奇岩站,北投區,121.500801,25.126286,18,20,19,31,23,30,35,38,40,40,39,33
165,捷運唭哩岸站(2號出口),北投區,121.505693,25.120788,8,22,14,15,20,15,19,20,21,17,15,21
166,臺北市立景美女中,文山區,121.556177,24.980602,12,15,13,16,15,14,15,18,20,6,3,14
167,臺北市立天文館,士林區,121.518046,25.095714,4,19,31,41,20,33,30,34,25,19,11,5
168,河堤國小,中正區,121.522855,25.02288,29,16,3,0,9,6,4,2,6,8,9,16
169,植物園,中正區,121.509813,25.030015,8,15,30,26,25,17,7,16,27,27,21,7
170,新東公園,松山區,121.568883,25.059245,41,44,40,38,34,19,16,9,7,5,4,5
171,文山運動中心,文山區,121.559651,24.996842,12,13,16,17,21,16,15,10,11,11,5,7
172,捷運南京三民站(1號出口),松山區,121.562891,25.051562,20,7,3,7,10,13,16,23,10,9,1,0
173,捷運松江南京站(7號出口),中山區,121.533211,25.052181,41,38,2,5,11,15,32,29,22,40,29,26
174,捷運小巨蛋站(5號出口),松山區,121.553057,25.051702,35,11,13,7,22,21,27,29,7,7,8,23
175,捷運南京復興站(5號出口),松山區,121.544847,25.051618,22,21,8,1,16,9,27,33,25,43,50,50
176,興安華城,中山區,121.542318,25.055997,39,16,6,4,1,5,5,0,3,3,10,21
177,葫蘆國小,士林區,121.507495,25.082538,21,22,19,18,16,16,19,21,23,22,20,25
178,延平國宅,士林區,121.510306,25.078908,16,10,8,6,4,2,3,3,4,4,8,8
179,南港公園,南港區,121.59073,25.041355,17,7,8,3,1,4,5,3,3,1,5,4
180,福華商場,內湖區,121.592654,25.06877,7,10,8,7,8,6,6,5,6,7,5,5
181,建國和平路口,大安區,121.537383,25.02585,4,16,23,27,16,10,2,28,30,27,21,1
182,捷運古亭站(2號出口),中正區,121.523537,25.0253,19,46,24,19,25,24,13,15,15,6,9,1
